,Episode,Score,Moving Average Score (n=50)
0,0,-21.0,-21.0
1,1,-21.0,-21.0
2,2,-20.0,-20.666666666666668
3,3,-21.0,-20.75
4,4,-19.0,-20.4
5,5,-20.0,-20.333333333333332
6,6,-21.0,-20.428571428571427
7,7,-21.0,-20.5
8,8,-18.0,-20.22222222222222
9,9,-21.0,-20.3
10,10,-21.0,-20.363636363636363
11,11,-20.0,-20.333333333333332
12,12,-20.0,-20.307692307692307
13,13,-21.0,-20.357142857142858
14,14,-21.0,-20.4
15,15,-21.0,-20.4375
16,16,-21.0,-20.470588235294116
17,17,-20.0,-20.444444444444443
18,18,-21.0,-20.473684210526315
19,19,-21.0,-20.5
20,20,-21.0,-20.523809523809526
21,21,-21.0,-20.545454545454547
22,22,-20.0,-20.52173913043478
23,23,-20.0,-20.5
24,24,-19.0,-20.44
25,25,-21.0,-20.46153846153846
26,26,-19.0,-20.40740740740741
27,27,-20.0,-20.392857142857142
28,28,-20.0,-20.379310344827587
29,29,-20.0,-20.366666666666667
30,30,-21.0,-20.387096774193548
31,31,-21.0,-20.40625
32,32,-20.0,-20.393939393939394
33,33,-21.0,-20.41176470588235
34,34,-21.0,-20.428571428571427
35,35,-21.0,-20.444444444444443
36,36,-21.0,-20.45945945945946
37,37,-18.0,-20.394736842105264
38,38,-20.0,-20.384615384615383
39,39,-21.0,-20.4
40,40,-21.0,-20.414634146341463
41,41,-21.0,-20.428571428571427
42,42,-21.0,-20.441860465116278
43,43,-21.0,-20.454545454545453
44,44,-21.0,-20.466666666666665
45,45,-21.0,-20.47826086956522
46,46,-21.0,-20.48936170212766
47,47,-19.0,-20.458333333333332
48,48,-21.0,-20.46938775510204
49,49,-20.0,-20.46
50,50,-19.0,-20.42
51,51,-20.0,-20.4
52,52,-21.0,-20.42
53,53,-20.0,-20.4
54,54,-21.0,-20.44
55,55,-19.0,-20.42
56,56,-20.0,-20.4
57,57,-20.0,-20.38
58,58,-21.0,-20.44
59,59,-19.0,-20.4
60,60,-20.0,-20.38
61,61,-18.0,-20.34
62,62,-21.0,-20.36
63,63,-21.0,-20.36
64,64,-19.0,-20.32
65,65,-21.0,-20.32
66,66,-21.0,-20.32
67,67,-21.0,-20.34
68,68,-20.0,-20.32
69,69,-19.0,-20.28
70,70,-20.0,-20.26
71,71,-21.0,-20.26
72,72,-20.0,-20.26
73,73,-18.0,-20.22
74,74,-20.0,-20.24
75,75,-20.0,-20.22
76,76,-21.0,-20.26
77,77,-19.0,-20.24
78,78,-21.0,-20.26
79,79,-19.0,-20.24
80,80,-17.0,-20.16
81,81,-20.0,-20.14
82,82,-16.0,-20.06
83,83,-20.0,-20.04
84,84,-20.0,-20.02
85,85,-19.0,-19.98
86,86,-19.0,-19.94
87,87,-20.0,-19.98
88,88,-17.0,-19.92
89,89,-16.0,-19.82
90,90,-17.0,-19.74
91,91,-20.0,-19.72
92,92,-17.0,-19.64
93,93,-19.0,-19.6
94,94,-17.0,-19.52
95,95,-21.0,-19.52
96,96,-20.0,-19.5
97,97,-21.0,-19.54
98,98,-16.0,-19.44
99,99,-17.0,-19.38
100,100,-19.0,-19.38
101,101,-18.0,-19.34
102,102,-19.0,-19.3
103,103,-17.0,-19.24
104,104,-19.0,-19.2
105,105,-17.0,-19.16
106,106,-17.0,-19.1
107,107,-18.0,-19.06
108,108,-14.0,-18.92
109,109,-18.0,-18.9
110,110,-15.0,-18.8
111,111,-16.0,-18.76
112,112,-17.0,-18.68
113,113,-18.0,-18.62
114,114,-19.0,-18.62
115,115,-18.0,-18.56
116,116,-19.0,-18.52
117,117,-14.0,-18.38
118,118,-17.0,-18.32
119,119,-19.0,-18.32
120,120,-18.0,-18.28
121,121,-15.0,-18.16
122,122,-16.0,-18.08
123,123,-18.0,-18.08
124,124,-14.0,-17.96
125,125,-19.0,-17.94
126,126,-15.0,-17.82
127,127,-16.0,-17.76
128,128,-13.0,-17.6
129,129,-15.0,-17.52
130,130,-17.0,-17.52
131,131,-15.0,-17.42
132,132,-14.0,-17.38
133,133,-14.0,-17.26
134,134,-16.0,-17.18
135,135,-19.0,-17.18
136,136,-17.0,-17.14
137,137,-13.0,-17.0
138,138,-16.0,-16.98
139,139,-13.0,-16.92
140,140,-15.0,-16.88
141,141,-13.0,-16.74
142,142,-16.0,-16.72
143,143,-15.0,-16.64
144,144,-16.0,-16.62
145,145,-12.0,-16.44
146,146,-15.0,-16.34
147,147,-15.0,-16.22
148,148,-13.0,-16.16
149,149,-14.0,-16.1
150,150,-12.0,-15.96
151,151,-15.0,-15.9
152,152,-14.0,-15.8
153,153,-12.0,-15.7
154,154,-12.0,-15.56
155,155,-12.0,-15.46
156,156,-13.0,-15.38
157,157,-10.0,-15.22
158,158,-11.0,-15.16
159,159,-11.0,-15.02
160,160,-18.0,-15.08
161,161,-12.0,-15.0
162,162,-14.0,-14.94
163,163,-12.0,-14.82
164,164,-12.0,-14.68
165,165,-10.0,-14.52
166,166,-16.0,-14.46
167,167,-11.0,-14.4
168,168,-7.0,-14.2
169,169,-11.0,-14.04
170,170,-10.0,-13.88
171,171,-10.0,-13.78
172,172,-10.0,-13.66
173,173,-8.0,-13.46
174,174,-13.0,-13.44
175,175,-9.0,-13.24
176,176,-11.0,-13.16
177,177,-14.0,-13.12
178,178,-7.0,-13.0
179,179,-10.0,-12.9
180,180,-14.0,-12.84
181,181,-7.0,-12.68
182,182,-7.0,-12.54
183,183,-8.0,-12.42
184,184,-5.0,-12.2
185,185,-10.0,-12.02
186,186,-9.0,-11.86
187,187,-8.0,-11.76
188,188,-7.0,-11.58
189,189,-6.0,-11.44
190,190,-6.0,-11.26
191,191,-7.0,-11.14
192,192,-9.0,-11.0
193,193,-6.0,-10.82
194,194,-9.0,-10.68
195,195,-9.0,-10.62
196,196,-7.0,-10.46
197,197,-8.0,-10.32
198,198,-10.0,-10.26
199,199,-6.0,-10.1
200,200,-12.0,-10.1
201,201,-4.0,-9.88
202,202,-7.0,-9.74
203,203,-5.0,-9.6
204,204,-8.0,-9.52
205,205,-11.0,-9.5
206,206,-8.0,-9.4
207,207,-9.0,-9.38
208,208,-9.0,-9.34
209,209,-12.0,-9.36
210,210,-7.0,-9.14
211,211,-10.0,-9.1
212,212,-2.0,-8.86
213,213,-6.0,-8.74
214,214,-7.0,-8.64
215,215,-9.0,-8.62
216,216,-3.0,-8.36
217,217,-3.0,-8.2
218,218,-3.0,-8.12
219,219,-10.0,-8.1
220,220,-9.0,-8.08
221,221,-5.0,-7.98
222,222,3.0,-7.72
223,223,-4.0,-7.64
224,224,-8.0,-7.54
225,225,-5.0,-7.46
226,226,4.0,-7.16
227,227,-2.0,-6.92
228,228,-3.0,-6.84
229,229,4.0,-6.56
230,230,-4.0,-6.36
231,231,-3.0,-6.28
232,232,1.0,-6.12
233,233,1.0,-5.94
234,234,10.0,-5.64
