,Episode,Score,Moving Average Score (n=50)
217,217,-8.0,-13.28
218,218,-7.0,-13.1
219,219,-5.0,-12.86
220,220,-10.0,-12.74
221,221,-12.0,-12.62
222,222,-9.0,-12.46
223,223,-5.0,-12.24
224,224,-3.0,-11.98
225,225,-6.0,-11.78
226,226,-11.0,-11.7
227,227,-7.0,-11.54
228,228,-6.0,-11.32
229,229,-8.0,-11.18
230,230,-6.0,-10.94
231,231,-11.0,-10.88
232,232,-3.0,-10.6
233,233,-8.0,-10.42
234,234,-9.0,-10.28
235,235,-7.0,-10.14
236,236,-11.0,-10.06
237,237,1.0,-9.84
238,238,-10.0,-9.78
239,239,-7.0,-9.56
240,240,-3.0,-9.36
241,241,-3.0,-9.14
242,242,-9.0,-9.02
243,243,-8.0,-8.98
244,244,-4.0,-8.8
245,245,-9.0,-8.68
246,246,-2.0,-8.5
247,247,-8.0,-8.42
248,248,-3.0,-8.24
249,249,-4.0,-8.02
250,250,-5.0,-7.86
251,251,-7.0,-7.7
252,252,-8.0,-7.7
253,253,-6.0,-7.6
254,254,-4.0,-7.44
255,255,-3.0,-7.2
256,256,-4.0,-7.08
257,257,-5.0,-6.94
258,258,-1.0,-6.74
259,259,-4.0,-6.64
260,260,-5.0,-6.6
261,261,-3.0,-6.42
262,262,-2.0,-6.28
263,263,3.0,-6.04
264,264,-5.0,-6.02
265,265,-3.0,-5.82
266,266,-3.0,-5.72
267,267,-2.0,-5.6
268,268,1.0,-5.44
269,269,-2.0,-5.38
270,270,-3.0,-5.24
271,271,-9.0,-5.18
272,272,-2.0,-5.04
273,273,1.0,-4.92
274,274,-7.0,-5.0
275,275,-5.0,-4.98
276,276,-4.0,-4.84
277,277,-4.0,-4.78
278,278,-4.0,-4.74
279,279,-3.0,-4.64
280,280,1.0,-4.5
281,281,-4.0,-4.36
282,282,1.0,-4.28
283,283,5.0,-4.02
284,284,-2.0,-3.88
285,285,-3.0,-3.8
286,286,2.0,-3.54
287,287,-3.0,-3.62
288,288,1.0,-3.4
289,289,3.0,-3.2
290,290,-3.0,-3.2
291,291,-1.0,-3.16
292,292,3.0,-2.92
293,293,1.0,-2.74
294,294,1.0,-2.64
295,295,1.0,-2.44
296,296,1.0,-2.38
297,297,-6.0,-2.34
298,298,2.0,-2.24
299,299,-3.0,-2.22
300,300,-4.0,-2.2
301,301,2.0,-2.02
302,302,-1.0,-1.88
303,303,4.0,-1.68
304,304,-2.0,-1.64
305,305,2.0,-1.54
306,306,6.0,-1.34
307,307,-1.0,-1.26
308,308,1.0,-1.22
309,309,3.0,-1.08
310,310,-3.0,-1.04
311,311,4.0,-0.9
312,312,-1.0,-0.88
313,313,1.0,-0.92
314,314,3.0,-0.76
315,315,2.0,-0.66
316,316,-2.0,-0.64
317,317,-2.0,-0.64
318,318,3.0,-0.6
319,319,2.0,-0.52
320,320,2.0,-0.42
321,321,3.0,-0.18
322,322,8.0,0.02
323,323,5.0,0.1
324,324,2.0,0.28
325,325,8.0,0.54
326,326,6.0,0.74
327,327,3.0,0.88
328,328,11.0,1.18
329,329,2.0,1.28
330,330,9.0,1.44
331,331,-1.0,1.5
332,332,7.0,1.62
333,333,3.0,1.58
334,334,6.0,1.74
335,335,11.0,2.02
336,336,8.0,2.14
337,337,6.0,2.32
338,338,6.0,2.42
339,339,14.0,2.64
340,340,6.0,2.82
341,341,8.0,3.0
342,342,8.0,3.1
343,343,6.0,3.2
344,344,8.0,3.34
345,345,6.0,3.44
346,346,8.0,3.58
347,347,5.0,3.8
348,348,7.0,3.9
349,349,7.0,4.1
350,350,9.0,4.36
351,351,12.0,4.56
352,352,11.0,4.8
353,353,10.0,4.92
354,354,10.0,5.16
355,355,5.0,5.22
356,356,13.0,5.36
357,357,9.0,5.56
358,358,8.0,5.7
359,359,9.0,5.82
360,360,12.0,6.12
361,361,7.0,6.18
362,362,10.0,6.4
363,363,11.0,6.6
364,364,9.0,6.72
365,365,7.0,6.82
366,366,12.0,7.1
367,367,11.0,7.36
368,368,14.0,7.58
369,369,10.0,7.74
370,370,8.0,7.86
371,371,9.0,7.98
372,372,9.0,8.0
373,373,11.0,8.12
374,374,8.0,8.24
375,375,11.0,8.3
376,376,10.0,8.38
377,377,11.0,8.54
378,378,11.0,8.54
379,379,12.0,8.74
380,380,12.0,8.8
381,381,4.0,8.9
382,382,11.0,8.98
383,383,13.0,9.18
384,384,12.0,9.3
385,385,17.0,9.42
386,386,10.0,9.46
387,387,16.0,9.66
388,388,13.0,9.8
389,389,12.0,9.76
390,390,9.0,9.82
391,391,15.0,9.96
392,392,10.0,10.0
393,393,11.0,10.1
394,394,8.0,10.1
395,395,9.0,10.16
396,396,7.0,10.14
397,397,10.0,10.24
398,398,15.0,10.4
399,399,17.0,10.6
400,400,13.0,10.68
401,401,11.0,10.66
402,402,14.0,10.72
403,403,16.0,10.84
404,404,13.0,10.9
405,405,10.0,11.0
406,406,11.0,10.96
407,407,12.0,11.02
408,408,13.0,11.12
409,409,15.0,11.24
410,410,15.0,11.3
411,411,17.0,11.5
412,412,14.0,11.58
413,413,13.0,11.62
414,414,15.0,11.74
415,415,11.0,11.82
416,416,11.0,11.8
417,417,18.0,11.94
418,418,13.0,11.92
419,419,17.0,12.06
420,420,17.0,12.24
421,421,14.0,12.34
422,422,18.0,12.52
423,423,11.0,12.52
424,424,19.0,12.74
425,425,13.0,12.78
426,426,16.0,12.9
427,427,15.0,12.98
428,428,10.0,12.96
429,429,9.0,12.9
430,430,10.0,12.86
431,431,15.0,13.08
432,432,16.0,13.18
433,433,15.0,13.22
434,434,17.0,13.32
435,435,8.0,13.14
436,436,8.0,13.1
437,437,19.0,13.16
438,438,10.0,13.1
439,439,15.0,13.16
440,440,16.0,13.3
441,441,9.0,13.18
442,442,18.0,13.34
443,443,17.0,13.46
444,444,14.0,13.58
445,445,9.0,13.58
446,446,16.0,13.76
447,447,16.0,13.88
448,448,14.0,13.86
449,449,12.0,13.76
450,450,14.0,13.78
451,451,14.0,13.84
452,452,12.0,13.8
453,453,14.0,13.76
454,454,14.0,13.78
455,455,19.0,13.96
456,456,13.0,14.0
457,457,15.0,14.06
458,458,16.0,14.12
459,459,17.0,14.16
460,460,15.0,14.16
461,461,15.0,14.12
462,462,16.0,14.16
463,463,16.0,14.22
464,464,13.0,14.18
465,465,18.0,14.32
466,466,16.0,14.42
467,467,18.0,14.42
468,468,15.0,14.46
469,469,14.0,14.4
470,470,14.0,14.34
471,471,13.0,14.32
472,472,17.0,14.3
473,473,9.0,14.26
474,474,13.0,14.14
475,475,15.0,14.18
476,476,14.0,14.14
477,477,18.0,14.2
478,478,14.0,14.28
479,479,14.0,14.38
480,480,19.0,14.56
481,481,17.0,14.6
482,482,15.0,14.58
483,483,12.0,14.52
484,484,16.0,14.5
485,485,12.0,14.58
486,486,13.0,14.68
487,487,15.0,14.6
488,488,13.0,14.66
489,489,19.0,14.74
490,490,18.0,14.78
491,491,18.0,14.96
492,492,19.0,14.98
493,493,15.0,14.94
494,494,14.0,14.94
495,495,16.0,15.08
496,496,20.0,15.16
497,497,18.0,15.2
498,498,18.0,15.28
499,499,16.0,15.36
500,500,18.0,15.44
501,501,15.0,15.46
502,502,16.0,15.54
503,503,17.0,15.6
504,504,17.0,15.66
505,505,19.0,15.66
506,506,18.0,15.76
507,507,17.0,15.8
508,508,15.0,15.78
509,509,12.0,15.68
510,510,14.0,15.66
511,511,15.0,15.66
512,512,17.0,15.68
513,513,16.0,15.68
514,514,17.0,15.76
515,515,17.0,15.74
516,516,16.0,15.74
517,517,18.0,15.74
518,518,18.0,15.8
519,519,17.0,15.86
520,520,17.0,15.92
521,521,21.0,16.08
522,522,17.0,16.08
523,523,16.0,16.22
524,524,12.0,16.2
525,525,16.0,16.22
526,526,15.0,16.24
527,527,16.0,16.2
528,528,16.0,16.24
529,529,10.0,16.16
530,530,18.0,16.14
531,531,20.0,16.2
532,532,13.0,16.16
533,533,15.0,16.22
534,534,14.0,16.18
535,535,9.0,16.12
536,536,18.0,16.22
537,537,15.0,16.22
538,538,20.0,16.36
539,539,21.0,16.4
540,540,16.0,16.36
541,541,17.0,16.34
542,542,11.0,16.18
543,543,14.0,16.16
544,544,20.0,16.28
545,545,17.0,16.3
546,546,16.0,16.22
547,547,13.0,16.12
548,548,15.0,16.06
549,549,14.0,16.02
550,550,19.0,16.04
551,551,15.0,16.04
552,552,19.0,16.1
553,553,17.0,16.1
554,554,17.0,16.1
555,555,17.0,16.06
556,556,13.0,15.96
557,557,15.0,15.92
558,558,20.0,16.02
559,559,16.0,16.1
560,560,17.0,16.16
561,561,17.0,16.2
562,562,18.0,16.22
563,563,17.0,16.24
564,564,19.0,16.28
565,565,16.0,16.26
566,566,15.0,16.24
567,567,16.0,16.2
568,568,17.0,16.18
569,569,14.0,16.12
570,570,12.0,16.02
571,571,14.0,15.88
572,572,17.0,15.88
573,573,15.0,15.86
574,574,17.0,15.96
575,575,13.0,15.9
576,576,16.0,15.92
577,577,19.0,15.98
578,578,19.0,16.04
579,579,13.0,16.1
580,580,18.0,16.1
581,581,19.0,16.08
582,582,16.0,16.14
583,583,15.0,16.14
584,584,15.0,16.16
585,585,17.0,16.32
586,586,16.0,16.28
587,587,14.0,16.26
588,588,16.0,16.18
589,589,17.0,16.1
590,590,19.0,16.16
591,591,18.0,16.18
592,592,15.0,16.26
593,593,15.0,16.28
594,594,17.0,16.22
595,595,15.0,16.18
596,596,18.0,16.22
597,597,18.0,16.32
598,598,18.0,16.38
599,599,14.0,16.38
600,600,14.0,16.28
601,601,19.0,16.36
602,602,16.0,16.3
603,603,17.0,16.3
604,604,19.0,16.34
605,605,18.0,16.36
606,606,17.0,16.44
607,607,13.0,16.4
608,608,19.0,16.38
609,609,16.0,16.38
610,610,14.0,16.32
611,611,19.0,16.36
612,612,15.0,16.3
613,613,14.0,16.24
614,614,15.0,16.16
615,615,16.0,16.16
