,0
0,-21.0
1,-21.0
2,-21.0
3,-21.0
4,-20.8
5,-20.833333333333332
6,-20.857142857142858
7,-20.875
8,-20.77777777777778
9,-20.7
10,-20.636363636363637
11,-20.5
12,-20.46153846153846
13,-20.428571428571427
14,-20.4
15,-20.4375
16,-20.41176470588235
17,-20.333333333333332
18,-20.263157894736842
19,-20.2
20,-20.238095238095237
21,-20.136363636363637
22,-20.17391304347826
23,-20.208333333333332
24,-20.16
25,-20.153846153846153
26,-20.14814814814815
27,-20.142857142857142
28,-20.17241379310345
29,-20.133333333333333
30,-20.161290322580644
31,-20.15625
32,-20.151515151515152
33,-20.176470588235293
34,-20.2
35,-20.22222222222222
36,-20.216216216216218
37,-20.210526315789473
38,-20.153846153846153
39,-20.125
40,-20.121951219512194
41,-20.11904761904762
42,-20.13953488372093
43,-20.136363636363637
44,-20.11111111111111
45,-20.108695652173914
46,-20.127659574468087
47,-20.145833333333332
48,-20.142857142857142
49,-20.14
50,-20.1
51,-20.06
52,-20.04
53,-20.04
54,-20.02
55,-20.02
56,-20.0
57,-19.98
58,-19.96
59,-19.88
60,-19.84
61,-19.84
62,-19.78
63,-19.74
64,-19.66
65,-19.6
66,-19.58
67,-19.54
68,-19.5
69,-19.48
70,-19.36
71,-19.38
72,-19.36
73,-19.34
74,-19.34
75,-19.28
76,-19.22
77,-19.22
78,-19.14
79,-19.02
80,-18.98
81,-18.94
82,-18.86
83,-18.8
84,-18.72
85,-18.66
86,-18.66
87,-18.6
88,-18.56
89,-18.48
90,-18.48
91,-18.34
92,-18.26
93,-18.18
94,-18.04
95,-17.92
96,-17.9
97,-17.86
98,-17.76
99,-17.72
