,Episode,Score,Moving Average Score (n=50)
222,222,12.0,5.0
223,223,14.0,5.26
224,224,-4.0,5.12
225,225,14.0,5.36
226,226,16.0,5.62
227,227,12.0,5.88
228,228,-1.0,5.78
229,229,7.0,5.88
230,230,15.0,6.08
231,231,13.0,6.26
232,232,5.0,6.26
233,233,4.0,6.42
234,234,11.0,6.52
235,235,12.0,6.68
236,236,17.0,6.86
237,237,16.0,7.06
238,238,14.0,7.24
239,239,11.0,7.3
240,240,10.0,7.32
241,241,13.0,7.5
242,242,16.0,7.76
243,243,14.0,7.92
244,244,20.0,8.28
245,245,18.0,8.52
246,246,14.0,8.76
247,247,16.0,9.0
248,248,17.0,9.22
249,249,18.0,9.54
250,250,17.0,9.76
251,251,19.0,10.04
252,252,17.0,10.34
253,253,9.0,10.48
254,254,16.0,10.66
255,255,12.0,10.8
256,256,17.0,10.92
257,257,12.0,11.1
258,258,17.0,11.28
259,259,19.0,11.56
260,260,12.0,11.9
261,261,16.0,12.1
262,262,16.0,12.3
263,263,12.0,12.4
264,264,6.0,12.26
265,265,14.0,12.46
266,266,18.0,12.62
267,267,19.0,12.9
268,268,17.0,13.18
269,269,14.0,13.26
270,270,15.0,13.34
271,271,19.0,13.54
272,272,17.0,13.64
273,273,18.0,13.72
274,274,18.0,14.16
275,275,16.0,14.2
276,276,20.0,14.28
277,277,13.0,14.3
278,278,19.0,14.7
279,279,16.0,14.88
280,280,14.0,14.86
281,281,16.0,14.92
282,282,16.0,15.14
283,283,19.0,15.44
284,284,18.0,15.58
285,285,16.0,15.66
286,286,16.0,15.64
287,287,16.0,15.64
288,288,19.0,15.74
289,289,17.0,15.86
290,290,15.0,15.96
291,291,18.0,16.06
292,292,17.0,16.08
293,293,11.0,16.02
294,294,18.0,15.98
295,295,19.0,16.0
296,296,20.0,16.12
297,297,16.0,16.12
298,298,18.0,16.14
299,299,16.0,16.1
300,300,13.0,16.02
301,301,18.0,16.0
302,302,14.0,15.94
303,303,12.0,16.0
304,304,10.0,15.88
305,305,13.0,15.9
306,306,13.0,15.82
307,307,-3.0,15.52
308,308,9.0,15.36
309,309,12.0,15.22
310,310,-1.0,14.96
311,311,16.0,14.96
312,312,8.0,14.8
313,313,15.0,14.86
314,314,3.0,14.8
315,315,12.0,14.76
316,316,13.0,14.66
317,317,15.0,14.58
318,318,18.0,14.6
319,319,16.0,14.64
320,320,4.0,14.42
321,321,10.0,14.24
322,322,11.0,14.12
323,323,15.0,14.06
324,324,14.0,13.98
325,325,17.0,14.0
326,326,12.0,13.84
327,327,12.0,13.82
328,328,7.0,13.58
329,329,20.0,13.66
330,330,16.0,13.7
331,331,16.0,13.7
332,332,14.0,13.66
333,333,14.0,13.56
334,334,17.0,13.54
335,335,17.0,13.56
336,336,12.0,13.48
337,337,18.0,13.52
338,338,11.0,13.36
339,339,17.0,13.36
340,340,14.0,13.34
341,341,21.0,13.4
342,342,18.0,13.42
343,343,16.0,13.52
344,344,16.0,13.48
345,345,21.0,13.52
346,346,18.0,13.48
347,347,19.0,13.54
348,348,19.0,13.56
349,349,20.0,13.64
350,350,20.0,13.78
351,351,18.0,13.78
352,352,19.0,13.88
353,353,16.0,13.96
354,354,18.0,14.12
355,355,15.0,14.16
356,356,20.0,14.3
357,357,17.0,14.7
358,358,16.0,14.84
359,359,19.0,14.98
360,360,18.0,15.36
361,361,19.0,15.42
362,362,20.0,15.66
363,363,17.0,15.7
364,364,18.0,16.0
365,365,17.0,16.1
366,366,18.0,16.2
367,367,18.0,16.26
368,368,15.0,16.2
369,369,12.0,16.12
370,370,14.0,16.32
371,371,9.0,16.3
372,372,18.0,16.44
373,373,15.0,16.44
374,374,17.0,16.5
375,375,12.0,16.4
376,376,15.0,16.46
377,377,15.0,16.52
378,378,8.0,16.54
379,379,13.0,16.4
380,380,14.0,16.36
381,381,10.0,16.24
382,382,13.0,16.22
383,383,15.0,16.24
384,384,15.0,16.2
385,385,14.0,16.14
386,386,17.0,16.24
387,387,11.0,16.1
388,388,12.0,16.12
389,389,12.0,16.02
390,390,19.0,16.12
391,391,14.0,15.98
392,392,10.0,15.82
393,393,15.0,15.8
394,394,19.0,15.86
395,395,19.0,15.82
396,396,14.0,15.74
397,397,16.0,15.68
398,398,13.0,15.56
399,399,18.0,15.52
400,400,20.0,15.52
401,401,18.0,15.52
