,Episode,Score,Moving Average Score (n=50)
0,0,-21.0,-21.0
1,1,-21.0,-21.0
2,2,-21.0,-21.0
3,3,-20.0,-20.75
4,4,-18.0,-20.2
5,5,-20.0,-20.166666666666668
6,6,-20.0,-20.142857142857142
7,7,-19.0,-20.0
8,8,-19.0,-19.88888888888889
9,9,-21.0,-20.0
10,10,-21.0,-20.09090909090909
11,11,-20.0,-20.083333333333332
12,12,-21.0,-20.153846153846153
13,13,-19.0,-20.071428571428573
14,14,-19.0,-20.0
15,15,-20.0,-20.0
16,16,-19.0,-19.941176470588236
17,17,-21.0,-20.0
18,18,-21.0,-20.05263157894737
19,19,-21.0,-20.1
20,20,-19.0,-20.047619047619047
21,21,-20.0,-20.045454545454547
22,22,-20.0,-20.043478260869566
23,23,-20.0,-20.041666666666668
24,24,-20.0,-20.04
25,25,-20.0,-20.03846153846154
26,26,-21.0,-20.074074074074073
27,27,-19.0,-20.035714285714285
28,28,-19.0,-20.0
29,29,-21.0,-20.033333333333335
30,30,-21.0,-20.06451612903226
31,31,-18.0,-20.0
32,32,-20.0,-20.0
33,33,-19.0,-19.970588235294116
34,34,-19.0,-19.942857142857143
35,35,-19.0,-19.916666666666668
36,36,-21.0,-19.945945945945947
37,37,-21.0,-19.973684210526315
38,38,-19.0,-19.94871794871795
39,39,-19.0,-19.925
40,40,-21.0,-19.951219512195124
41,41,-19.0,-19.928571428571427
42,42,-18.0,-19.88372093023256
43,43,-19.0,-19.863636363636363
44,44,-19.0,-19.844444444444445
45,45,-20.0,-19.847826086956523
46,46,-17.0,-19.78723404255319
47,47,-20.0,-19.791666666666668
48,48,-20.0,-19.79591836734694
49,49,-20.0,-19.8
50,50,-20.0,-19.78
51,51,-20.0,-19.76
52,52,-20.0,-19.74
53,53,-20.0,-19.74
54,54,-18.0,-19.74
55,55,-21.0,-19.76
56,56,-20.0,-19.76
57,57,-20.0,-19.78
58,58,-18.0,-19.76
59,59,-18.0,-19.7
60,60,-19.0,-19.66
61,61,-19.0,-19.64
62,62,-19.0,-19.6
63,63,-21.0,-19.64
64,64,-20.0,-19.66
65,65,-19.0,-19.64
66,66,-19.0,-19.64
67,67,-18.0,-19.58
68,68,-20.0,-19.56
69,69,-20.0,-19.54
70,70,-19.0,-19.54
71,71,-20.0,-19.54
72,72,-19.0,-19.52
73,73,-17.0,-19.46
74,74,-17.0,-19.4
75,75,-18.0,-19.36
76,76,-19.0,-19.32
77,77,-19.0,-19.32
78,78,-20.0,-19.34
79,79,-19.0,-19.3
80,80,-18.0,-19.24
81,81,-20.0,-19.28
82,82,-14.0,-19.16
83,83,-14.0,-19.06
84,84,-19.0,-19.06
85,85,-19.0,-19.06
86,86,-15.0,-18.94
87,87,-17.0,-18.86
88,88,-19.0,-18.86
89,89,-17.0,-18.82
90,90,-14.0,-18.68
91,91,-17.0,-18.64
92,92,-19.0,-18.66
93,93,-16.0,-18.6
94,94,-14.0,-18.5
95,95,-16.0,-18.42
96,96,-18.0,-18.44
97,97,-14.0,-18.32
98,98,-20.0,-18.32
99,99,-14.0,-18.2
100,100,-15.0,-18.1
101,101,-18.0,-18.06
102,102,-10.0,-17.86
103,103,-18.0,-17.82
104,104,-15.0,-17.76
105,105,-17.0,-17.68
106,106,-11.0,-17.5
107,107,-11.0,-17.32
108,108,-11.0,-17.18
109,109,-12.0,-17.06
110,110,-11.0,-16.9
111,111,-12.0,-16.76
112,112,-17.0,-16.72
113,113,-11.0,-16.52
114,114,-13.0,-16.38
115,115,-8.0,-16.16
116,116,-7.0,-15.92
117,117,-9.0,-15.74
118,118,-12.0,-15.58
119,119,-8.0,-15.34
120,120,-13.0,-15.22
121,121,-9.0,-15.0
122,122,-10.0,-14.82
123,123,-8.0,-14.64
124,124,-7.0,-14.44
125,125,-11.0,-14.3
126,126,-12.0,-14.16
127,127,-10.0,-13.98
128,128,-6.0,-13.7
129,129,-6.0,-13.44
130,130,-7.0,-13.22
131,131,-12.0,-13.06
132,132,-18.0,-13.14
133,133,-8.0,-13.02
134,134,-15.0,-12.94
135,135,-9.0,-12.74
136,136,-15.0,-12.74
137,137,-8.0,-12.56
138,138,-11.0,-12.4
139,139,-10.0,-12.26
140,140,-6.0,-12.1
141,141,-4.0,-11.84
142,142,-10.0,-11.66
143,143,-5.0,-11.44
144,144,-8.0,-11.32
145,145,-10.0,-11.2
146,146,-11.0,-11.06
147,147,-7.0,-10.92
148,148,-10.0,-10.72
149,149,-7.0,-10.58
150,150,-6.0,-10.4
151,151,-5.0,-10.14
152,152,-12.0,-10.18
153,153,-8.0,-9.98
154,154,-14.0,-9.96
155,155,-9.0,-9.8
156,156,-7.0,-9.72
157,157,-6.0,-9.62
158,158,-8.0,-9.56
159,159,-5.0,-9.42
160,160,-3.0,-9.26
161,161,-5.0,-9.12
162,162,-8.0,-8.94
163,163,-8.0,-8.88
164,164,-1.0,-8.64
165,165,-11.0,-8.7
166,166,-6.0,-8.68
167,167,-3.0,-8.56
168,168,-7.0,-8.46
169,169,-5.0,-8.4
170,170,-8.0,-8.3
171,171,-4.0,-8.2
172,172,-5.0,-8.1
173,173,-8.0,-8.1
174,174,-7.0,-8.1
175,175,-4.0,-7.96
176,176,-2.0,-7.76
177,177,-6.0,-7.68
178,178,-3.0,-7.62
179,179,-4.0,-7.58
180,180,-5.0,-7.54
181,181,-8.0,-7.46
182,182,-11.0,-7.32
183,183,-8.0,-7.32
184,184,-6.0,-7.14
185,185,-5.0,-7.06
186,186,-6.0,-6.88
187,187,-5.0,-6.82
188,188,-6.0,-6.72
189,189,-6.0,-6.64
190,190,-5.0,-6.62
191,191,-1.0,-6.56
192,192,-4.0,-6.44
193,193,-5.0,-6.44
194,194,1.0,-6.26
195,195,2.0,-6.02
196,196,-2.0,-5.84
197,197,-7.0,-5.84
198,198,-4.0,-5.72
199,199,-2.0,-5.62
200,200,-5.0,-5.6
201,201,-3.0,-5.56
202,202,-3.0,-5.38
203,203,-5.0,-5.32
204,204,-5.0,-5.14
205,205,-3.0,-5.02
206,206,-13.0,-5.14
207,207,1.0,-5.0
208,208,-7.0,-4.98
209,209,-12.0,-5.12
210,210,-4.0,-5.14
211,211,2.0,-5.0
212,212,-8.0,-5.0
213,213,-1.0,-4.86
214,214,-3.0,-4.9
215,215,-4.0,-4.76
216,216,-3.0,-4.7
217,217,2.0,-4.6
218,218,-5.0,-4.56
219,219,-3.0,-4.52
220,220,-6.0,-4.48
221,221,-6.0,-4.52
222,222,2.0,-4.38
223,223,-7.0,-4.36
224,224,-7.0,-4.36
225,225,3.0,-4.22
226,226,-5.0,-4.28
227,227,5.0,-4.06
228,228,3.0,-3.94
229,229,-2.0,-3.9
230,230,-1.0,-3.82
231,231,3.0,-3.6
232,232,-7.0,-3.52
233,233,1.0,-3.34
234,234,3.0,-3.16
235,235,-4.0,-3.14
236,236,5.0,-2.92
