,Episode,Score,Moving Average Score (n=50)
217,217,-9.0,-14.26
218,218,-6.0,-14.12
219,219,-12.0,-14.02
220,220,-13.0,-14.0
221,221,-7.0,-13.8
222,222,-10.0,-13.7
223,223,-8.0,-13.54
224,224,-13.0,-13.48
225,225,-9.0,-13.38
226,226,-13.0,-13.32
227,227,-10.0,-13.22
228,228,-10.0,-13.1
229,229,-12.0,-13.04
230,230,-9.0,-13.0
231,231,-13.0,-12.94
232,232,-13.0,-12.98
233,233,-12.0,-12.86
234,234,-7.0,-12.68
235,235,-10.0,-12.64
236,236,-10.0,-12.46
237,237,-8.0,-12.34
238,238,-12.0,-12.26
239,239,-8.0,-12.18
240,240,-16.0,-12.22
241,241,-14.0,-12.22
242,242,-11.0,-12.14
243,243,-9.0,-12.04
244,244,-16.0,-12.04
245,245,-10.0,-11.94
246,246,-9.0,-11.82
247,247,-9.0,-11.68
248,248,-12.0,-11.58
249,249,-15.0,-11.58
250,250,-13.0,-11.54
251,251,-15.0,-11.58
252,252,-12.0,-11.54
253,253,-12.0,-11.52
254,254,-8.0,-11.46
255,255,-9.0,-11.32
256,256,-11.0,-11.22
257,257,-11.0,-11.14
258,258,-11.0,-11.04
259,259,-12.0,-11.08
260,260,-10.0,-10.98
261,261,-10.0,-10.92
262,262,-9.0,-10.84
263,263,-4.0,-10.64
264,264,-6.0,-10.56
265,265,-10.0,-10.56
266,266,-9.0,-10.54
267,267,-11.0,-10.58
268,268,-15.0,-10.76
269,269,-7.0,-10.66
270,270,-7.0,-10.54
271,271,-8.0,-10.56
272,272,-6.0,-10.48
273,273,-7.0,-10.46
274,274,-14.0,-10.48
275,275,-13.0,-10.56
276,276,-4.0,-10.38
277,277,-12.0,-10.42
278,278,-8.0,-10.38
279,279,-5.0,-10.24
280,280,-10.0,-10.26
281,281,-12.0,-10.24
282,282,-10.0,-10.18
283,283,-7.0,-10.08
284,284,-9.0,-10.12
285,285,-8.0,-10.08
286,286,-13.0,-10.14
287,287,-6.0,-10.1
288,288,-9.0,-10.04
289,289,-16.0,-10.2
290,290,-5.0,-9.98
291,291,-7.0,-9.84
292,292,-6.0,-9.74
293,293,-7.0,-9.7
294,294,-2.0,-9.42
295,295,-12.0,-9.46
296,296,-8.0,-9.44
297,297,-11.0,-9.48
298,298,-3.0,-9.3
299,299,-12.0,-9.24
300,300,-11.0,-9.2
301,301,-5.0,-9.0
302,302,-6.0,-8.88
303,303,-9.0,-8.82
304,304,-9.0,-8.84
305,305,-9.0,-8.84
306,306,-10.0,-8.82
307,307,-3.0,-8.66
308,308,4.0,-8.36
309,309,-1.0,-8.14
310,310,-11.0,-8.16
311,311,-4.0,-8.04
312,312,-4.0,-7.94
313,313,-4.0,-7.94
314,314,-1.0,-7.84
315,315,-9.0,-7.82
316,316,-5.0,-7.74
317,317,-3.0,-7.58
318,318,-2.0,-7.32
319,319,-4.0,-7.26
320,320,-5.0,-7.22
321,321,-7.0,-7.2
322,322,1.0,-7.06
323,323,-7.0,-7.06
324,324,2.0,-6.74
325,325,-6.0,-6.6
326,326,-3.0,-6.58
327,327,-12.0,-6.58
328,328,-5.0,-6.52
329,329,-2.0,-6.46
330,330,-3.0,-6.32
331,331,-3.0,-6.14
332,332,1.0,-5.92
333,333,-3.0,-5.84
334,334,-6.0,-5.78
335,335,-5.0,-5.72
336,336,-5.0,-5.56
337,337,-5.0,-5.54
338,338,3.0,-5.3
339,339,-2.0,-5.02
340,340,2.0,-4.88
341,341,-1.0,-4.76
342,342,4.0,-4.56
343,343,-8.0,-4.58
344,344,-2.0,-4.58
345,345,-7.0,-4.48
346,346,5.0,-4.22
347,347,-2.0,-4.04
348,348,-8.0,-4.14
349,349,4.0,-3.82
350,350,-7.0,-3.74
351,351,-5.0,-3.74
352,352,3.0,-3.56
353,353,-1.0,-3.4
354,354,-1.0,-3.24
355,355,-1.0,-3.08
356,356,8.0,-2.72
357,357,-4.0,-2.74
358,358,5.0,-2.72
359,359,-3.0,-2.76
360,360,6.0,-2.42
361,361,3.0,-2.28
362,362,-1.0,-2.22
363,363,9.0,-1.96
364,364,-2.0,-1.98
365,365,1.0,-1.78
366,366,-1.0,-1.7
367,367,3.0,-1.58
368,368,9.0,-1.36
369,369,3.0,-1.22
370,370,-3.0,-1.18
371,371,-11.0,-1.26
372,372,4.0,-1.2
373,373,4.0,-0.98
374,374,7.0,-0.88
375,375,2.0,-0.72
376,376,4.0,-0.58
377,377,13.0,-0.08
378,378,11.0,0.24
379,379,4.0,0.36
380,380,19.0,0.8
381,381,7.0,1.0
382,382,6.0,1.1
383,383,15.0,1.46
384,384,13.0,1.84
385,385,8.0,2.1
386,386,9.0,2.38
387,387,5.0,2.58
388,388,1.0,2.54
389,389,10.0,2.78
390,390,1.0,2.76
391,391,16.0,3.1
392,392,14.0,3.3
393,393,13.0,3.72
394,394,15.0,4.06
395,395,13.0,4.46
396,396,8.0,4.52
397,397,9.0,4.74
398,398,20.0,5.3
399,399,17.0,5.56
400,400,20.0,6.1
401,401,14.0,6.48
402,402,9.0,6.6
403,403,9.0,6.8
404,404,18.0,7.18
405,405,14.0,7.48
406,406,11.0,7.54
407,407,6.0,7.74
408,408,12.0,7.88
409,409,18.0,8.3
410,410,15.0,8.48
411,411,12.0,8.66
412,412,17.0,9.02
413,413,14.0,9.12
414,414,17.0,9.5
415,415,16.0,9.8
416,416,9.0,10.0
417,417,16.0,10.26
418,418,15.0,10.38
419,419,19.0,10.7
420,420,15.0,11.06
421,421,11.0,11.5
422,422,8.0,11.58
423,423,7.0,11.64
424,424,9.0,11.68
425,425,15.0,11.94
426,426,16.0,12.18
427,427,16.0,12.24
428,428,13.0,12.28
429,429,14.0,12.48
430,430,12.0,12.34
