,Episode,Score,Moving Average Score (n=50)
0,0,-21.0,-21.0
1,1,-21.0,-21.0
2,2,-20.0,-20.666666666666668
3,3,-20.0,-20.5
4,4,-18.0,-20.0
5,5,-21.0,-20.166666666666668
6,6,-19.0,-20.0
7,7,-21.0,-20.125
8,8,-20.0,-20.11111111111111
9,9,-20.0,-20.1
10,10,-21.0,-20.181818181818183
11,11,-20.0,-20.166666666666668
12,12,-21.0,-20.23076923076923
13,13,-20.0,-20.214285714285715
14,14,-21.0,-20.266666666666666
15,15,-21.0,-20.3125
16,16,-21.0,-20.352941176470587
17,17,-20.0,-20.333333333333332
18,18,-19.0,-20.263157894736842
19,19,-18.0,-20.15
20,20,-21.0,-20.19047619047619
21,21,-20.0,-20.181818181818183
22,22,-21.0,-20.217391304347824
23,23,-19.0,-20.166666666666668
24,24,-18.0,-20.08
25,25,-20.0,-20.076923076923077
26,26,-21.0,-20.11111111111111
27,27,-21.0,-20.142857142857142
28,28,-21.0,-20.17241379310345
29,29,-18.0,-20.1
30,30,-21.0,-20.129032258064516
31,31,-20.0,-20.125
32,32,-17.0,-20.03030303030303
33,33,-21.0,-20.058823529411764
34,34,-20.0,-20.057142857142857
35,35,-19.0,-20.02777777777778
36,36,-20.0,-20.027027027027028
37,37,-18.0,-19.973684210526315
38,38,-21.0,-20.0
39,39,-20.0,-20.0
40,40,-19.0,-19.975609756097562
41,41,-16.0,-19.88095238095238
42,42,-21.0,-19.906976744186046
43,43,-20.0,-19.90909090909091
44,44,-20.0,-19.91111111111111
45,45,-20.0,-19.91304347826087
46,46,-21.0,-19.93617021276596
47,47,-21.0,-19.958333333333332
48,48,-19.0,-19.93877551020408
49,49,-19.0,-19.92
50,50,-17.0,-19.84
51,51,-21.0,-19.84
52,52,-20.0,-19.84
53,53,-20.0,-19.84
54,54,-18.0,-19.84
55,55,-18.0,-19.78
56,56,-20.0,-19.8
57,57,-19.0,-19.76
58,58,-19.0,-19.74
59,59,-19.0,-19.72
60,60,-20.0,-19.7
61,61,-20.0,-19.7
62,62,-17.0,-19.62
63,63,-20.0,-19.62
64,64,-15.0,-19.5
65,65,-19.0,-19.46
66,66,-17.0,-19.38
67,67,-19.0,-19.36
68,68,-19.0,-19.36
69,69,-20.0,-19.4
70,70,-18.0,-19.34
71,71,-20.0,-19.34
72,72,-15.0,-19.22
73,73,-20.0,-19.24
74,74,-19.0,-19.26
75,75,-16.0,-19.18
76,76,-20.0,-19.16
77,77,-16.0,-19.06
78,78,-19.0,-19.02
79,79,-17.0,-19.0
80,80,-14.0,-18.86
81,81,-17.0,-18.8
82,82,-20.0,-18.86
83,83,-16.0,-18.76
84,84,-18.0,-18.72
85,85,-20.0,-18.74
86,86,-19.0,-18.72
87,87,-18.0,-18.72
88,88,-17.0,-18.64
89,89,-18.0,-18.6
90,90,-17.0,-18.56
91,91,-16.0,-18.56
92,92,-18.0,-18.5
93,93,-15.0,-18.4
94,94,-16.0,-18.32
95,95,-17.0,-18.26
96,96,-12.0,-18.08
97,97,-18.0,-18.02
98,98,-16.0,-17.96
99,99,-18.0,-17.94
100,100,-16.0,-17.92
101,101,-15.0,-17.8
102,102,-18.0,-17.76
103,103,-11.0,-17.58
104,104,-13.0,-17.48
105,105,-14.0,-17.4
106,106,-17.0,-17.34
107,107,-13.0,-17.22
108,108,-14.0,-17.12
109,109,-16.0,-17.06
110,110,-11.0,-16.88
111,111,-15.0,-16.78
112,112,-15.0,-16.74
113,113,-13.0,-16.6
114,114,-13.0,-16.56
115,115,-14.0,-16.46
116,116,-11.0,-16.34
117,117,-14.0,-16.24
118,118,-17.0,-16.2
119,119,-17.0,-16.14
120,120,-15.0,-16.08
121,121,-15.0,-15.98
122,122,-15.0,-15.98
123,123,-16.0,-15.9
124,124,-16.0,-15.84
125,125,-15.0,-15.82
126,126,-16.0,-15.74
127,127,-10.0,-15.62
128,128,-14.0,-15.52
129,129,-13.0,-15.44
130,130,-13.0,-15.42
131,131,-15.0,-15.38
132,132,-10.0,-15.18
133,133,-11.0,-15.08
134,134,-14.0,-15.0
135,135,-12.0,-14.84
136,136,-16.0,-14.78
137,137,-11.0,-14.64
138,138,-7.0,-14.44
139,139,-16.0,-14.4
140,140,-10.0,-14.26
141,141,-10.0,-14.14
142,142,-12.0,-14.02
143,143,-13.0,-13.98
144,144,-13.0,-13.92
145,145,-15.0,-13.88
146,146,-11.0,-13.86
147,147,-11.0,-13.72
148,148,-11.0,-13.62
149,149,-13.0,-13.52
150,150,-9.0,-13.38
151,151,-12.0,-13.32
152,152,-12.0,-13.2
153,153,-12.0,-13.22
154,154,-10.0,-13.16
155,155,-9.0,-13.06
156,156,-10.0,-12.92
157,157,-9.0,-12.84
158,158,-12.0,-12.8
159,159,-12.0,-12.72
160,160,-9.0,-12.68
161,161,-12.0,-12.62
162,162,-7.0,-12.46
163,163,-9.0,-12.38
164,164,-12.0,-12.36
165,165,-9.0,-12.26
166,166,-13.0,-12.3
167,167,-9.0,-12.2
168,168,-11.0,-12.08
169,169,-12.0,-11.98
170,170,-7.0,-11.82
171,171,-8.0,-11.68
172,172,-7.0,-11.52
173,173,-13.0,-11.46
174,174,-9.0,-11.32
175,175,-9.0,-11.2
176,176,-8.0,-11.04
177,177,-9.0,-11.02
178,178,-12.0,-10.98
179,179,-9.0,-10.9
180,180,-10.0,-10.84
181,181,-15.0,-10.84
182,182,-11.0,-10.86
183,183,-13.0,-10.9
184,184,-8.0,-10.78
185,185,-9.0,-10.72
186,186,-5.0,-10.5
187,187,-9.0,-10.46
188,188,-11.0,-10.54
189,189,-10.0,-10.42
190,190,-8.0,-10.38
191,191,-7.0,-10.32
192,192,-6.0,-10.2
193,193,-4.0,-10.02
194,194,-9.0,-9.94
195,195,-10.0,-9.84
196,196,-5.0,-9.72
197,197,-8.0,-9.66
198,198,-5.0,-9.54
199,199,-7.0,-9.42
200,200,-8.0,-9.4
201,201,-6.0,-9.28
202,202,-1.0,-9.06
203,203,-9.0,-9.0
204,204,-7.0,-8.94
205,205,-6.0,-8.88
206,206,-6.0,-8.8
207,207,-9.0,-8.8
208,208,-9.0,-8.74
209,209,-11.0,-8.72
210,210,-8.0,-8.7
211,211,-5.0,-8.56
212,212,-8.0,-8.58
213,213,-1.0,-8.42
214,214,-10.0,-8.38
215,215,-11.0,-8.42
216,216,-6.0,-8.28
217,217,-10.0,-8.3
218,218,-5.0,-8.18
219,219,-7.0,-8.08
220,220,-4.0,-8.02
221,221,-9.0,-8.04
222,222,-1.0,-7.92
223,223,-4.0,-7.74
224,224,-8.0,-7.72
225,225,-6.0,-7.66
226,226,-4.0,-7.58
227,227,-3.0,-7.46
228,228,-8.0,-7.38
229,229,-6.0,-7.32
230,230,-2.0,-7.16
231,231,-4.0,-6.94
232,232,-2.0,-6.76
233,233,-7.0,-6.64
234,234,-2.0,-6.52
