,Episode,Score,Moving Average Score (n=50)
0,0,-20.0,-20.0
1,1,-21.0,-20.5
2,2,-21.0,-20.666666666666668
3,3,-20.0,-20.5
4,4,-18.0,-20.0
5,5,-21.0,-20.166666666666668
6,6,-21.0,-20.285714285714285
7,7,-21.0,-20.375
8,8,-19.0,-20.22222222222222
9,9,-21.0,-20.3
10,10,-20.0,-20.272727272727273
11,11,-21.0,-20.333333333333332
12,12,-20.0,-20.307692307692307
13,13,-19.0,-20.214285714285715
14,14,-19.0,-20.133333333333333
15,15,-19.0,-20.0625
16,16,-20.0,-20.058823529411764
17,17,-20.0,-20.055555555555557
18,18,-17.0,-19.894736842105264
19,19,-21.0,-19.95
20,20,-16.0,-19.761904761904763
21,21,-20.0,-19.772727272727273
22,22,-20.0,-19.782608695652176
23,23,-21.0,-19.833333333333332
24,24,-19.0,-19.8
25,25,-20.0,-19.807692307692307
26,26,-21.0,-19.85185185185185
27,27,-20.0,-19.857142857142858
28,28,-19.0,-19.82758620689655
29,29,-20.0,-19.833333333333332
30,30,-21.0,-19.870967741935484
31,31,-20.0,-19.875
32,32,-20.0,-19.87878787878788
33,33,-20.0,-19.88235294117647
34,34,-19.0,-19.857142857142858
35,35,-20.0,-19.86111111111111
36,36,-18.0,-19.81081081081081
37,37,-20.0,-19.81578947368421
38,38,-20.0,-19.82051282051282
39,39,-19.0,-19.8
40,40,-20.0,-19.804878048780488
41,41,-20.0,-19.80952380952381
42,42,-18.0,-19.767441860465116
43,43,-20.0,-19.772727272727273
44,44,-21.0,-19.8
45,45,-19.0,-19.782608695652176
46,46,-19.0,-19.76595744680851
47,47,-18.0,-19.729166666666668
48,48,-20.0,-19.73469387755102
49,49,-20.0,-19.74
50,50,-15.0,-19.64
51,51,-18.0,-19.58
52,52,-20.0,-19.56
53,53,-20.0,-19.56
54,54,-20.0,-19.6
55,55,-20.0,-19.58
56,56,-16.0,-19.48
57,57,-15.0,-19.36
58,58,-19.0,-19.36
59,59,-19.0,-19.32
60,60,-18.0,-19.28
61,61,-19.0,-19.24
62,62,-16.0,-19.16
63,63,-15.0,-19.08
64,64,-18.0,-19.06
65,65,-16.0,-19.0
66,66,-19.0,-18.98
67,67,-16.0,-18.9
68,68,-16.0,-18.88
69,69,-18.0,-18.82
70,70,-16.0,-18.82
71,71,-17.0,-18.76
72,72,-19.0,-18.74
