,0
462,12.62
463,12.74
464,12.88
465,12.86
466,12.94
467,13.02
468,13.02
469,13.16
470,13.26
471,13.4
472,13.44
473,13.48
474,13.74
475,13.7
476,13.82
477,13.9
478,13.98
479,13.94
480,13.9
481,14.08
482,14.06
483,14.2
484,14.3
485,14.4
486,14.52
487,14.72
488,14.72
489,14.82
490,14.9
491,15.0
492,15.08
493,15.1
494,15.12
495,15.18
496,15.26
497,15.42
498,15.48
499,15.52
500,15.58
501,15.64
502,15.72
503,15.78
504,15.82
505,15.86
506,15.96
507,15.98
508,15.94
509,16.02
510,16.06
511,16.04
512,16.1
513,16.02
514,16.0
515,16.08
516,16.12
517,16.16
518,16.14
519,16.16
520,16.18
521,16.2
522,16.22
523,16.24
524,16.3
525,16.38
526,16.4
527,16.34
528,16.34
529,16.44
530,16.54
531,16.52
532,16.6
533,16.6
534,16.58
535,16.52
536,16.5
537,16.44
538,16.46
539,16.4
540,16.36
541,16.38
542,16.5
543,16.56
544,16.54
545,16.58
546,16.54
547,16.5
548,16.38
549,16.44
550,16.48
551,16.46
552,16.4
553,16.4
554,16.32
555,16.34
556,16.38
557,16.42
558,16.4
559,16.3
560,16.36
561,16.44
562,16.48
563,16.54
564,16.58
565,16.54
566,16.56
567,16.5
568,16.5
569,16.46
570,16.5
571,16.44
572,16.4
573,16.44
574,16.4
575,16.42
576,16.4
577,16.44
578,16.48
579,16.48
580,16.42
581,16.38
582,16.38
583,16.24
584,16.12
585,16.08
586,16.02
587,16.1
588,16.12
589,16.0
590,15.98
591,15.94
592,15.88
593,15.72
594,15.76
595,15.76
596,15.72
597,15.78
598,15.74
599,15.7
600,15.66
601,15.68
602,15.76
603,15.74
604,15.66
605,15.72
606,15.7
607,15.6
608,15.7
609,15.76
610,15.72
611,15.72
612,15.7
613,15.66
614,15.62
615,15.68
616,15.64
617,15.7
618,15.74
619,15.78
620,15.82
621,15.9
622,15.96
623,15.98
624,15.88
625,15.84
626,15.84
627,15.82
628,15.82
629,15.82
630,15.96
631,15.98
632,15.96
633,16.12
634,16.3
635,16.4
636,16.48
637,16.5
638,16.48
639,16.64
640,16.64
641,16.76
642,16.82
643,17.0
644,17.02
645,17.0
646,17.14
647,17.14
648,17.32
649,17.28
650,17.32
651,17.3
652,17.26
653,17.24
654,17.3
655,17.34
656,17.34
657,17.4
658,17.38
659,17.4
660,17.32
661,17.3
662,17.32
663,17.38
664,17.4
665,17.42
666,17.48
667,17.44
668,17.48
669,17.48
670,17.38
671,17.36
672,17.36
673,17.3
674,17.42
675,17.38
676,17.28
677,17.34
678,17.32
679,17.34
680,17.32
681,17.32
682,17.32
683,17.28
684,17.18
685,17.12
686,17.1
687,17.04
688,17.06
689,17.06
690,17.16
691,17.18
692,17.22
693,17.2
694,17.18
695,17.22
696,17.18
697,17.16
698,17.16
699,17.1
700,17.14
701,17.2
702,17.24
703,17.3
704,17.42
705,17.4
706,17.44
707,17.48
708,17.44
709,17.42
710,17.42
711,17.36
712,17.34
713,17.34
714,17.32
715,17.34
716,17.38
717,17.44
718,17.48
719,17.42
720,17.4
721,17.4
722,17.32
723,17.36
724,17.36
725,17.42
726,17.56
727,17.54
728,17.62
729,17.62
730,17.64
731,17.64
732,17.66
733,17.72
734,17.84
735,17.9
736,17.98
737,18.06
738,18.04
739,18.06
740,18.06
741,17.96
742,17.86
743,17.88
744,17.9
745,17.9
746,17.88
747,17.92
748,17.92
749,18.06
750,18.02
751,18.06
752,18.04
753,18.08
754,18.04
755,18.0
756,17.96
757,18.0
758,18.04
759,18.0
760,18.08
761,18.12
762,18.16
763,18.08
764,18.08
765,18.0
766,17.88
767,17.88
768,17.82
769,17.8
770,17.92
771,17.96
772,18.04
773,18.02
774,18.04
775,18.08
776,18.02
777,17.98
778,17.9
779,17.84
780,17.84
781,17.86
782,17.8
783,17.76
784,17.54
785,17.52
