,Episode,Score,Moving Average Score (n=50)
0,0,-20.0,-20.0
1,1,-21.0,-20.5
2,2,-21.0,-20.666666666666668
3,3,-19.0,-20.25
4,4,-19.0,-20.0
5,5,-21.0,-20.166666666666668
6,6,-20.0,-20.142857142857142
7,7,-20.0,-20.125
8,8,-21.0,-20.22222222222222
9,9,-20.0,-20.2
10,10,-20.0,-20.181818181818183
11,11,-20.0,-20.166666666666668
12,12,-21.0,-20.23076923076923
13,13,-21.0,-20.285714285714285
14,14,-20.0,-20.266666666666666
15,15,-21.0,-20.3125
16,16,-20.0,-20.294117647058822
17,17,-20.0,-20.27777777777778
18,18,-21.0,-20.31578947368421
19,19,-20.0,-20.3
20,20,-19.0,-20.238095238095237
21,21,-21.0,-20.272727272727273
22,22,-21.0,-20.304347826086957
23,23,-20.0,-20.291666666666668
24,24,-20.0,-20.28
25,25,-20.0,-20.26923076923077
26,26,-20.0,-20.25925925925926
27,27,-20.0,-20.25
28,28,-20.0,-20.24137931034483
29,29,-20.0,-20.233333333333334
30,30,-21.0,-20.258064516129032
31,31,-21.0,-20.28125
32,32,-20.0,-20.272727272727273
33,33,-21.0,-20.294117647058822
34,34,-20.0,-20.285714285714285
35,35,-20.0,-20.27777777777778
36,36,-21.0,-20.2972972972973
37,37,-21.0,-20.31578947368421
38,38,-20.0,-20.307692307692307
39,39,-21.0,-20.325
40,40,-20.0,-20.317073170731707
41,41,-21.0,-20.333333333333332
42,42,-19.0,-20.302325581395348
43,43,-18.0,-20.25
44,44,-20.0,-20.244444444444444
45,45,-19.0,-20.217391304347824
46,46,-17.0,-20.148936170212767
47,47,-21.0,-20.166666666666668
48,48,-19.0,-20.142857142857142
49,49,-20.0,-20.14
50,50,-20.0,-20.14
51,51,-19.0,-20.1
52,52,-20.0,-20.08
53,53,-20.0,-20.1
54,54,-17.0,-20.06
55,55,-19.0,-20.02
56,56,-20.0,-20.02
57,57,-18.0,-19.98
58,58,-17.0,-19.9
59,59,-17.0,-19.84
60,60,-18.0,-19.8
61,61,-17.0,-19.74
62,62,-17.0,-19.66
63,63,-18.0,-19.6
64,64,-19.0,-19.58
65,65,-18.0,-19.52
66,66,-17.0,-19.46
67,67,-19.0,-19.44
68,68,-16.0,-19.34
69,69,-20.0,-19.34
70,70,-21.0,-19.38
71,71,-17.0,-19.3
72,72,-20.0,-19.28
