,Episode,Score,Moving Average Score (n=50)
221,221,5.0,3.52
222,222,9.0,3.74
223,223,10.0,3.92
224,224,4.0,4.12
225,225,5.0,4.3
226,226,3.0,4.38
227,227,7.0,4.48
228,228,5.0,4.68
229,229,5.0,4.84
230,230,10.0,4.98
231,231,4.0,5.02
232,232,7.0,5.1
233,233,8.0,5.36
234,234,8.0,5.38
235,235,7.0,5.46
236,236,8.0,5.58
237,237,9.0,5.7
238,238,-1.0,5.6
239,239,-1.0,5.44
240,240,-1.0,5.5
241,241,7.0,5.54
242,242,-1.0,5.5
243,243,3.0,5.36
244,244,4.0,5.34
245,245,2.0,5.28
246,246,6.0,5.22
247,247,7.0,5.24
248,248,3.0,5.24
249,249,5.0,5.18
250,250,6.0,5.18
251,251,8.0,5.22
252,252,3.0,5.2
253,253,3.0,5.1
254,254,7.0,5.02
255,255,6.0,4.96
256,256,6.0,5.0
257,257,7.0,5.0
258,258,14.0,5.2
259,259,9.0,5.16
260,260,7.0,5.16
261,261,3.0,5.3
262,262,9.0,5.38
263,263,11.0,5.5
264,264,6.0,5.6
265,265,3.0,5.64
266,266,5.0,5.58
267,267,4.0,5.58
268,268,3.0,5.42
269,269,7.0,5.58
270,270,10.0,5.68
271,271,5.0,5.68
272,272,6.0,5.62
273,273,5.0,5.52
274,274,12.0,5.68
275,275,9.0,5.76
276,276,14.0,5.98
277,277,12.0,6.08
278,278,6.0,6.1
279,279,10.0,6.2
280,280,10.0,6.2
281,281,12.0,6.36
282,282,9.0,6.4
283,283,12.0,6.48
284,284,10.0,6.52
285,285,12.0,6.62
286,286,9.0,6.64
287,287,11.0,6.68
288,288,12.0,6.94
289,289,15.0,7.26
290,290,10.0,7.48
291,291,14.0,7.62
292,292,14.0,7.92
293,293,16.0,8.18
294,294,12.0,8.34
295,295,13.0,8.56
296,296,11.0,8.66
297,297,9.0,8.7
298,298,16.0,8.96
299,299,10.0,9.06
300,300,11.0,9.16
301,301,11.0,9.22
302,302,10.0,9.36
303,303,14.0,9.58
304,304,12.0,9.68
305,305,16.0,9.88
306,306,17.0,10.1
307,307,15.0,10.26
308,308,17.0,10.32
309,309,8.0,10.3
310,310,12.0,10.4
311,311,12.0,10.58
312,312,19.0,10.78
313,313,15.0,10.86
314,314,17.0,11.08
315,315,15.0,11.32
316,316,18.0,11.58
317,317,16.0,11.82
318,318,16.0,12.08
319,319,17.0,12.28
320,320,18.0,12.44
321,321,17.0,12.68
322,322,14.0,12.84
323,323,12.0,12.98
324,324,14.0,13.02
325,325,17.0,13.18
326,326,19.0,13.28
327,327,15.0,13.34
328,328,17.0,13.56
329,329,19.0,13.74
330,330,16.0,13.86
331,331,18.0,13.98
332,332,19.0,14.18
333,333,20.0,14.34
334,334,19.0,14.52
335,335,20.0,14.68
336,336,18.0,14.86
337,337,18.0,15.0
338,338,18.0,15.12
339,339,16.0,15.14
340,340,15.0,15.24
341,341,13.0,15.22
342,342,20.0,15.34
343,343,18.0,15.38
344,344,13.0,15.4
345,345,19.0,15.52
346,346,19.0,15.68
347,347,17.0,15.84
348,348,14.0,15.8
349,349,17.0,15.94
350,350,16.0,16.04
351,351,20.0,16.22
352,352,15.0,16.32
353,353,17.0,16.38
354,354,17.0,16.48
355,355,16.0,16.48
356,356,17.0,16.48
357,357,18.0,16.54
358,358,13.0,16.46
359,359,19.0,16.68
360,360,18.0,16.8
361,361,20.0,16.96
362,362,16.0,16.9
363,363,15.0,16.9
364,364,15.0,16.86
365,365,16.0,16.88
366,366,16.0,16.84
367,367,18.0,16.88
368,368,18.0,16.92
369,369,17.0,16.92
370,370,17.0,16.9
371,371,15.0,16.86
372,372,15.0,16.88
