,Episode,Score,Moving Average Score (n=50)
0,0,-21.0,-21.0
1,1,-21.0,-21.0
2,2,-21.0,-21.0
3,3,-21.0,-21.0
4,4,-19.0,-20.6
5,5,-21.0,-20.666666666666668
6,6,-21.0,-20.714285714285715
7,7,-19.0,-20.5
8,8,-19.0,-20.333333333333332
9,9,-20.0,-20.3
10,10,-20.0,-20.272727272727273
11,11,-20.0,-20.25
12,12,-21.0,-20.307692307692307
13,13,-21.0,-20.357142857142858
14,14,-21.0,-20.4
15,15,-21.0,-20.4375
16,16,-19.0,-20.352941176470587
17,17,-19.0,-20.27777777777778
18,18,-19.0,-20.210526315789473
19,19,-19.0,-20.15
20,20,-21.0,-20.19047619047619
21,21,-20.0,-20.181818181818183
22,22,-21.0,-20.217391304347824
23,23,-19.0,-20.166666666666668
24,24,-20.0,-20.16
25,25,-20.0,-20.153846153846153
26,26,-21.0,-20.185185185185187
27,27,-18.0,-20.107142857142858
28,28,-20.0,-20.103448275862068
29,29,-18.0,-20.033333333333335
30,30,-21.0,-20.06451612903226
31,31,-21.0,-20.09375
32,32,-21.0,-20.12121212121212
33,33,-18.0,-20.058823529411764
34,34,-21.0,-20.085714285714285
35,35,-20.0,-20.083333333333332
36,36,-20.0,-20.08108108108108
37,37,-20.0,-20.07894736842105
38,38,-21.0,-20.102564102564102
39,39,-19.0,-20.075
40,40,-20.0,-20.073170731707318
41,41,-19.0,-20.047619047619047
42,42,-18.0,-20.0
43,43,-20.0,-20.0
44,44,-18.0,-19.955555555555556
45,45,-20.0,-19.956521739130434
46,46,-20.0,-19.95744680851064
47,47,-21.0,-19.979166666666668
48,48,-20.0,-19.979591836734695
49,49,-21.0,-20.0
50,50,-17.0,-19.92
51,51,-21.0,-19.92
52,52,-20.0,-19.9
53,53,-18.0,-19.84
54,54,-19.0,-19.84
55,55,-19.0,-19.8
56,56,-19.0,-19.76
57,57,-21.0,-19.8
58,58,-20.0,-19.82
59,59,-16.0,-19.74
60,60,-19.0,-19.72
61,61,-20.0,-19.72
62,62,-19.0,-19.68
63,63,-21.0,-19.68
64,64,-21.0,-19.68
65,65,-20.0,-19.66
66,66,-15.0,-19.58
67,67,-17.0,-19.54
68,68,-17.0,-19.5
69,69,-19.0,-19.5
70,70,-20.0,-19.48
71,71,-21.0,-19.5
72,72,-18.0,-19.44
73,73,-18.0,-19.42
74,74,-17.0,-19.36
75,75,-20.0,-19.36
76,76,-20.0,-19.34
77,77,-16.0,-19.3
78,78,-20.0,-19.3
79,79,-18.0,-19.3
80,80,-16.0,-19.2
81,81,-19.0,-19.16
82,82,-19.0,-19.12
83,83,-18.0,-19.12
84,84,-19.0,-19.08
85,85,-19.0,-19.06
86,86,-19.0,-19.04
87,87,-18.0,-19.0
88,88,-17.0,-18.92
89,89,-21.0,-18.96
90,90,-16.0,-18.88
91,91,-17.0,-18.84
92,92,-15.0,-18.78
93,93,-15.0,-18.68
94,94,-17.0,-18.66
95,95,-16.0,-18.58
96,96,-19.0,-18.56
97,97,-18.0,-18.5
98,98,-18.0,-18.46
99,99,-17.0,-18.38
100,100,-17.0,-18.38
101,101,-18.0,-18.32
102,102,-18.0,-18.28
103,103,-19.0,-18.3
104,104,-19.0,-18.3
105,105,-19.0,-18.3
106,106,-18.0,-18.28
107,107,-19.0,-18.24
108,108,-20.0,-18.24
109,109,-14.0,-18.2
110,110,-16.0,-18.14
111,111,-17.0,-18.08
112,112,-16.0,-18.02
113,113,-19.0,-17.98
114,114,-19.0,-17.94
115,115,-18.0,-17.9
116,116,-20.0,-18.0
117,117,-16.0,-17.98
118,118,-14.0,-17.92
119,119,-16.0,-17.86
120,120,-18.0,-17.82
121,121,-16.0,-17.72
122,122,-17.0,-17.7
123,123,-14.0,-17.62
124,124,-11.0,-17.5
125,125,-16.0,-17.42
126,126,-14.0,-17.3
127,127,-16.0,-17.3
128,128,-13.0,-17.16
129,129,-17.0,-17.14
130,130,-16.0,-17.14
131,131,-12.0,-17.0
132,132,-10.0,-16.82
133,133,-11.0,-16.68
134,134,-11.0,-16.52
135,135,-13.0,-16.4
136,136,-11.0,-16.24
137,137,-7.0,-16.02
138,138,-13.0,-15.94
139,139,-10.0,-15.72
140,140,-10.0,-15.6
141,141,-14.0,-15.54
142,142,-12.0,-15.48
143,143,-7.0,-15.32
144,144,-7.0,-15.12
145,145,-8.0,-14.96
146,146,-11.0,-14.8
147,147,-3.0,-14.5
148,148,-5.0,-14.24
149,149,-9.0,-14.08
150,150,-5.0,-13.84
151,151,-9.0,-13.66
152,152,-8.0,-13.46
153,153,-14.0,-13.36
154,154,-4.0,-13.06
155,155,-5.0,-12.78
156,156,-8.0,-12.58
157,157,-7.0,-12.34
158,158,-6.0,-12.06
159,159,-2.0,-11.82
160,160,-5.0,-11.6
161,161,-5.0,-11.36
162,162,-9.0,-11.22
163,163,-11.0,-11.06
164,164,-8.0,-10.84
165,165,-7.0,-10.62
166,166,-4.0,-10.3
167,167,-3.0,-10.04
168,168,-7.0,-9.9
169,169,-9.0,-9.76
170,170,-5.0,-9.5
171,171,-3.0,-9.24
172,172,-3.0,-8.96
173,173,-6.0,-8.8
174,174,-4.0,-8.66
175,175,-2.0,-8.38
176,176,-2.0,-8.14
177,177,-4.0,-7.9
178,178,-4.0,-7.72
179,179,1.0,-7.36
180,180,-8.0,-7.2
181,181,-4.0,-7.04
182,182,-6.0,-6.96
183,183,-3.0,-6.8
184,184,1.0,-6.56
185,185,-3.0,-6.36
186,186,-4.0,-6.22
187,187,-7.0,-6.22
188,188,1.0,-5.94
189,189,-5.0,-5.84
190,190,-5.0,-5.74
191,191,-5.0,-5.56
192,192,-1.0,-5.34
193,193,-5.0,-5.3
194,194,-6.0,-5.28
195,195,1.0,-5.1
196,196,-6.0,-5.0
197,197,-5.0,-5.04
198,198,-4.0,-5.02
199,199,-4.0,-4.92
200,200,-2.0,-4.86
201,201,-5.0,-4.78
202,202,-3.0,-4.68
203,203,-2.0,-4.44
204,204,-4.0,-4.44
205,205,5.0,-4.24
206,206,-7.0,-4.22
207,207,-5.0,-4.18
208,208,-4.0,-4.14
209,209,-4.0,-4.18
210,210,2.0,-4.04
211,211,-7.0,-4.08
212,212,2.0,-3.86
213,213,-4.0,-3.72
214,214,2.0,-3.52
215,215,-1.0,-3.4
216,216,-3.0,-3.38
217,217,6.0,-3.2
218,218,-2.0,-3.1
219,219,8.0,-2.76
220,220,4.0,-2.58
221,221,-6.0,-2.64
222,222,-3.0,-2.64
223,223,6.0,-2.4
224,224,5.0,-2.22
225,225,2.0,-2.14
226,226,4.0,-2.02
227,227,1.0,-1.92
228,228,1.0,-1.82
229,229,5.0,-1.74
230,230,7.0,-1.44
231,231,-1.0,-1.38
232,232,4.0,-1.18
233,233,1.0,-1.1
234,234,7.0,-0.98
235,235,12.0,-0.68
236,236,8.0,-0.44
