,Episode,Score,Moving Average Score (n=50)
0,0,-21.0,-21.0
1,1,-21.0,-21.0
2,2,-20.0,-20.666666666666668
3,3,-20.0,-20.5
4,4,-19.0,-20.2
5,5,-21.0,-20.333333333333332
6,6,-20.0,-20.285714285714285
7,7,-21.0,-20.375
8,8,-20.0,-20.333333333333332
9,9,-18.0,-20.1
10,10,-21.0,-20.181818181818183
11,11,-21.0,-20.25
12,12,-21.0,-20.307692307692307
13,13,-16.0,-20.0
14,14,-21.0,-20.066666666666666
15,15,-21.0,-20.125
16,16,-19.0,-20.058823529411764
17,17,-21.0,-20.11111111111111
18,18,-21.0,-20.157894736842106
19,19,-20.0,-20.15
20,20,-21.0,-20.19047619047619
21,21,-21.0,-20.227272727272727
22,22,-19.0,-20.17391304347826
23,23,-21.0,-20.208333333333332
24,24,-20.0,-20.2
25,25,-21.0,-20.23076923076923
26,26,-20.0,-20.22222222222222
27,27,-19.0,-20.178571428571427
28,28,-21.0,-20.20689655172414
29,29,-20.0,-20.2
30,30,-20.0,-20.193548387096776
31,31,-20.0,-20.1875
32,32,-20.0,-20.181818181818183
33,33,-19.0,-20.147058823529413
34,34,-20.0,-20.142857142857142
35,35,-21.0,-20.166666666666668
36,36,-21.0,-20.18918918918919
37,37,-20.0,-20.18421052631579
38,38,-20.0,-20.17948717948718
39,39,-21.0,-20.2
40,40,-21.0,-20.21951219512195
41,41,-21.0,-20.238095238095237
42,42,-21.0,-20.25581395348837
43,43,-21.0,-20.272727272727273
44,44,-19.0,-20.244444444444444
45,45,-19.0,-20.217391304347824
46,46,-21.0,-20.23404255319149
47,47,-21.0,-20.25
48,48,-20.0,-20.244897959183675
49,49,-21.0,-20.26
50,50,-20.0,-20.24
51,51,-20.0,-20.22
52,52,-21.0,-20.24
53,53,-18.0,-20.2
54,54,-21.0,-20.24
55,55,-19.0,-20.2
56,56,-21.0,-20.22
57,57,-18.0,-20.16
58,58,-19.0,-20.14
59,59,-18.0,-20.14
60,60,-20.0,-20.12
61,61,-18.0,-20.06
62,62,-21.0,-20.06
63,63,-20.0,-20.14
64,64,-21.0,-20.14
65,65,-21.0,-20.14
66,66,-18.0,-20.12
67,67,-21.0,-20.12
68,68,-20.0,-20.1
69,69,-19.0,-20.08
70,70,-21.0,-20.08
71,71,-20.0,-20.06
72,72,-19.0,-20.06
73,73,-18.0,-20.0
74,74,-21.0,-20.02
75,75,-16.0,-19.92
76,76,-17.0,-19.86
77,77,-20.0,-19.88
78,78,-19.0,-19.84
79,79,-19.0,-19.82
80,80,-19.0,-19.8
81,81,-20.0,-19.8
82,82,-20.0,-19.8
83,83,-16.0,-19.74
84,84,-21.0,-19.76
85,85,-13.0,-19.6
86,86,-21.0,-19.6
87,87,-20.0,-19.6
88,88,-18.0,-19.56
89,89,-17.0,-19.48
90,90,-16.0,-19.38
91,91,-16.0,-19.28
92,92,-10.0,-19.06
93,93,-21.0,-19.06
94,94,-17.0,-19.02
95,95,-16.0,-18.96
96,96,-15.0,-18.84
97,97,-15.0,-18.72
98,98,-17.0,-18.66
99,99,-14.0,-18.52
100,100,-18.0,-18.48
101,101,-19.0,-18.46
102,102,-17.0,-18.38
103,103,-16.0,-18.34
104,104,-16.0,-18.24
105,105,-15.0,-18.16
106,106,-16.0,-18.06
107,107,-14.0,-17.98
108,108,-18.0,-17.96
109,109,-16.0,-17.92
110,110,-14.0,-17.8
111,111,-15.0,-17.74
112,112,-13.0,-17.58
113,113,-15.0,-17.48
114,114,-18.0,-17.42
115,115,-11.0,-17.22
116,116,-12.0,-17.1
117,117,-14.0,-16.96
118,118,-9.0,-16.74
119,119,-11.0,-16.58
120,120,-7.0,-16.3
121,121,-6.0,-16.02
122,122,-8.0,-15.8
123,123,-9.0,-15.62
124,124,-6.0,-15.32
125,125,-3.0,-15.06
126,126,-15.0,-15.02
127,127,-4.0,-14.7
128,128,-4.0,-14.4
129,129,-12.0,-14.26
130,130,-10.0,-14.08
131,131,-11.0,-13.9
132,132,-10.0,-13.7
133,133,-5.0,-13.48
134,134,-8.0,-13.22
135,135,-4.0,-13.04
136,136,-9.0,-12.8
137,137,-9.0,-12.58
138,138,-14.0,-12.5
139,139,-6.0,-12.28
140,140,-6.0,-12.08
141,141,-11.0,-11.98
142,142,-10.0,-11.98
143,143,-6.0,-11.68
144,144,-7.0,-11.48
145,145,-7.0,-11.3
146,146,-10.0,-11.2
147,147,-14.0,-11.18
148,148,-17.0,-11.18
149,149,-6.0,-11.02
150,150,-8.0,-10.82
151,151,-10.0,-10.64
152,152,-11.0,-10.52
153,153,-8.0,-10.36
154,154,-11.0,-10.26
155,155,-9.0,-10.14
156,156,-7.0,-9.96
157,157,-7.0,-9.82
158,158,-8.0,-9.62
159,159,-12.0,-9.54
160,160,-9.0,-9.44
161,161,-7.0,-9.28
162,162,2.0,-8.98
163,163,-14.0,-8.96
164,164,-10.0,-8.8
165,165,-9.0,-8.76
166,166,-6.0,-8.64
167,167,-8.0,-8.52
168,168,-15.0,-8.64
169,169,-9.0,-8.6
170,170,-3.0,-8.52
171,171,-4.0,-8.48
172,172,-9.0,-8.5
173,173,-10.0,-8.52
174,174,-3.0,-8.46
175,175,-4.0,-8.48
176,176,-6.0,-8.3
177,177,7.0,-8.08
178,178,5.0,-7.9
179,179,-1.0,-7.68
180,180,-4.0,-7.56
181,181,6.0,-7.22
182,182,-12.0,-7.26
183,183,3.0,-7.1
184,184,-3.0,-7.0
185,185,-2.0,-6.96
186,186,4.0,-6.7
187,187,6.0,-6.4
188,188,7.0,-5.98
189,189,-5.0,-5.96
190,190,-2.0,-5.88
191,191,1.0,-5.64
192,192,-1.0,-5.46
193,193,8.0,-5.18
194,194,1.0,-5.02
195,195,9.0,-4.7
196,196,-3.0,-4.56
197,197,3.0,-4.22
198,198,1.0,-3.86
199,199,-1.0,-3.76
200,200,2.0,-3.56
201,201,9.0,-3.18
202,202,-6.0,-3.08
203,203,2.0,-2.88
204,204,-4.0,-2.74
205,205,8.0,-2.4
206,206,10.0,-2.06
207,207,11.0,-1.7
208,208,1.0,-1.52
209,209,6.0,-1.16
210,210,9.0,-0.8
211,211,9.0,-0.48
212,212,10.0,-0.32
213,213,4.0,0.04
214,214,7.0,0.38
215,215,-9.0,0.38
216,216,8.0,0.66
217,217,9.0,1.0
218,218,13.0,1.56
219,219,-7.0,1.6
220,220,9.0,1.84
221,221,12.0,2.16
222,222,4.0,2.42
223,223,-8.0,2.46
224,224,-2.0,2.48
225,225,1.0,2.58
226,226,14.0,2.98
227,227,-6.0,2.72
228,228,6.0,2.74
229,229,9.0,2.94
230,230,7.0,3.16
231,231,2.0,3.08
232,232,8.0,3.48
233,233,6.0,3.54
234,234,9.0,3.78
235,235,14.0,4.1
236,236,7.0,4.16
237,237,2.0,4.08
238,238,13.0,4.2
239,239,10.0,4.5
240,240,13.0,4.8
