,0
0,-20.0
1,-20.5
2,-20.333333333333332
3,-20.5
4,-20.2
5,-20.333333333333332
6,-20.285714285714285
7,-20.375
8,-20.333333333333332
9,-20.3
10,-20.363636363636363
11,-20.416666666666668
12,-20.384615384615383
13,-20.428571428571427
14,-20.333333333333332
15,-20.375
16,-20.41176470588235
17,-20.444444444444443
18,-20.42105263157895
19,-20.45
20,-20.428571428571427
21,-20.40909090909091
22,-20.434782608695652
23,-20.458333333333332
24,-20.48
25,-20.5
26,-20.51851851851852
27,-20.535714285714285
28,-20.517241379310345
29,-20.466666666666665
30,-20.451612903225808
31,-20.46875
32,-20.454545454545453
33,-20.470588235294116
34,-20.428571428571427
35,-20.444444444444443
36,-20.43243243243243
37,-20.44736842105263
38,-20.46153846153846
39,-20.45
40,-20.414634146341463
41,-20.428571428571427
42,-20.41860465116279
43,-20.40909090909091
44,-20.42222222222222
45,-20.369565217391305
46,-20.382978723404257
47,-20.375
48,-20.387755102040817
49,-20.4
50,-20.4
51,-20.4
52,-20.4
53,-20.4
54,-20.4
55,-20.36
56,-20.38
57,-20.38
58,-20.38
59,-20.36
60,-20.34
61,-20.34
62,-20.34
63,-20.28
64,-20.32
65,-20.32
66,-20.32
67,-20.3
68,-20.28
69,-20.28
70,-20.26
71,-20.22
72,-20.2
73,-20.18
74,-20.18
75,-20.16
76,-20.16
77,-20.16
78,-20.16
79,-20.16
80,-20.14
81,-20.14
82,-20.16
83,-20.1
84,-20.14
85,-20.1
86,-20.12
87,-20.1
88,-20.08
89,-20.1
90,-20.14
91,-20.12
92,-20.14
93,-20.12
94,-20.12
95,-20.16
96,-20.16
97,-20.16
98,-20.12
99,-20.08
100,-20.1
101,-20.08
102,-20.08
103,-20.06
104,-20.06
105,-20.1
106,-20.1
107,-20.06
108,-20.06
109,-20.06
110,-20.06
111,-19.98
112,-20.0
113,-20.04
114,-20.04
115,-20.04
116,-20.04
117,-20.06
118,-20.1
119,-20.08
120,-20.12
121,-20.14
122,-20.14
123,-20.16
124,-20.16
125,-20.18
126,-20.18
127,-20.18
128,-20.16
129,-20.18
130,-20.18
131,-20.1
132,-20.1
133,-20.14
134,-20.12
135,-20.1
136,-20.08
137,-20.1
138,-20.1
139,-20.06
140,-20.04
141,-20.0
142,-20.0
143,-20.02
144,-19.96
145,-19.98
146,-19.96
147,-19.96
148,-19.98
