,Episode,Score,Moving Average Score (n=50)
0,0,-21.0,-21.0
1,1,-21.0,-21.0
2,2,-21.0,-21.0
3,3,-19.0,-20.5
4,4,-19.0,-20.2
5,5,-21.0,-20.333333333333332
6,6,-21.0,-20.428571428571427
7,7,-21.0,-20.5
8,8,-20.0,-20.444444444444443
9,9,-19.0,-20.3
10,10,-21.0,-20.363636363636363
11,11,-20.0,-20.333333333333332
12,12,-20.0,-20.307692307692307
13,13,-21.0,-20.357142857142858
14,14,-18.0,-20.2
15,15,-20.0,-20.1875
16,16,-20.0,-20.176470588235293
17,17,-17.0,-20.0
18,18,-21.0,-20.05263157894737
19,19,-21.0,-20.1
20,20,-21.0,-20.142857142857142
21,21,-21.0,-20.181818181818183
22,22,-20.0,-20.17391304347826
23,23,-21.0,-20.208333333333332
24,24,-20.0,-20.2
25,25,-19.0,-20.153846153846153
26,26,-21.0,-20.185185185185187
27,27,-20.0,-20.178571428571427
28,28,-21.0,-20.20689655172414
29,29,-21.0,-20.233333333333334
30,30,-20.0,-20.225806451612904
31,31,-19.0,-20.1875
32,32,-20.0,-20.181818181818183
33,33,-21.0,-20.205882352941178
34,34,-21.0,-20.228571428571428
35,35,-20.0,-20.22222222222222
36,36,-21.0,-20.243243243243242
37,37,-19.0,-20.210526315789473
38,38,-21.0,-20.23076923076923
39,39,-21.0,-20.25
40,40,-21.0,-20.26829268292683
41,41,-19.0,-20.238095238095237
42,42,-21.0,-20.25581395348837
43,43,-21.0,-20.272727272727273
44,44,-21.0,-20.288888888888888
45,45,-21.0,-20.304347826086957
46,46,-20.0,-20.29787234042553
47,47,-19.0,-20.270833333333332
48,48,-20.0,-20.26530612244898
49,49,-20.0,-20.26
50,50,-20.0,-20.24
51,51,-21.0,-20.24
52,52,-18.0,-20.18
53,53,-19.0,-20.18
54,54,-19.0,-20.18
55,55,-20.0,-20.16
56,56,-21.0,-20.16
57,57,-17.0,-20.08
58,58,-19.0,-20.06
59,59,-18.0,-20.04
60,60,-20.0,-20.02
61,61,-19.0,-20.0
62,62,-19.0,-19.98
63,63,-17.0,-19.9
64,64,-20.0,-19.94
65,65,-17.0,-19.88
66,66,-20.0,-19.88
67,67,-19.0,-19.92
68,68,-21.0,-19.92
69,69,-20.0,-19.9
70,70,-21.0,-19.9
71,71,-19.0,-19.86
72,72,-18.0,-19.82
73,73,-19.0,-19.78
74,74,-18.0,-19.74
75,75,-17.0,-19.7
76,76,-19.0,-19.66
77,77,-21.0,-19.68
78,78,-18.0,-19.62
79,79,-16.0,-19.52
80,80,-18.0,-19.48
81,81,-17.0,-19.44
82,82,-15.0,-19.34
83,83,-20.0,-19.32
84,84,-21.0,-19.32
85,85,-20.0,-19.32
86,86,-18.0,-19.26
87,87,-16.0,-19.2
88,88,-20.0,-19.18
89,89,-16.0,-19.08
90,90,-20.0,-19.06
91,91,-19.0,-19.06
92,92,-18.0,-19.0
93,93,-19.0,-18.96
94,94,-21.0,-18.96
95,95,-16.0,-18.86
96,96,-15.0,-18.76
97,97,-19.0,-18.76
98,98,-16.0,-18.68
99,99,-20.0,-18.68
100,100,-18.0,-18.64
101,101,-14.0,-18.5
102,102,-17.0,-18.48
103,103,-19.0,-18.48
104,104,-20.0,-18.5
105,105,-18.0,-18.46
106,106,-17.0,-18.38
107,107,-15.0,-18.34
108,108,-10.0,-18.16
109,109,-15.0,-18.1
110,110,-16.0,-18.02
111,111,-13.0,-17.9
112,112,-13.0,-17.78
113,113,-17.0,-17.78
114,114,-16.0,-17.7
115,115,-10.0,-17.56
116,116,-16.0,-17.48
117,117,-16.0,-17.42
118,118,-17.0,-17.34
119,119,-17.0,-17.28
120,120,-14.0,-17.14
121,121,-14.0,-17.04
122,122,-14.0,-16.96
123,123,-12.0,-16.82
124,124,-18.0,-16.82
125,125,-15.0,-16.78
126,126,-17.0,-16.74
127,127,-13.0,-16.58
128,128,-11.0,-16.44
129,129,-10.0,-16.32
130,130,-20.0,-16.36
131,131,-10.0,-16.22
132,132,-15.0,-16.22
133,133,-16.0,-16.14
134,134,-14.0,-16.0
135,135,-15.0,-15.9
136,136,-12.0,-15.78
137,137,-14.0,-15.74
138,138,-10.0,-15.54
139,139,-14.0,-15.5
140,140,-7.0,-15.24
141,141,-12.0,-15.1
142,142,-12.0,-14.98
143,143,-11.0,-14.82
144,144,-9.0,-14.58
145,145,-11.0,-14.48
146,146,-13.0,-14.44
147,147,-6.0,-14.18
148,148,-11.0,-14.08
149,149,-10.0,-13.88
150,150,-15.0,-13.82
151,151,-9.0,-13.72
152,152,-6.0,-13.5
153,153,-8.0,-13.28
154,154,-11.0,-13.1
155,155,-10.0,-12.94
156,156,-14.0,-12.88
157,157,-10.0,-12.78
158,158,-10.0,-12.78
159,159,-5.0,-12.58
160,160,-6.0,-12.38
161,161,-8.0,-12.28
162,162,-3.0,-12.08
163,163,-8.0,-11.9
164,164,-5.0,-11.68
165,165,-6.0,-11.6
166,166,-8.0,-11.44
167,167,-7.0,-11.26
168,168,-6.0,-11.04
169,169,-5.0,-10.8
170,170,-5.0,-10.62
171,171,-12.0,-10.58
172,172,-6.0,-10.42
173,173,-6.0,-10.3
174,174,-10.0,-10.14
175,175,-6.0,-9.96
176,176,-6.0,-9.74
177,177,-16.0,-9.8
178,178,-5.0,-9.68
179,179,-2.0,-9.52
180,180,-4.0,-9.2
181,181,-7.0,-9.14
182,182,-8.0,-9.0
183,183,-2.0,-8.72
184,184,-6.0,-8.56
185,185,-3.0,-8.32
186,186,-1.0,-8.1
187,187,-4.0,-7.9
188,188,-6.0,-7.82
189,189,-6.0,-7.66
190,190,-5.0,-7.62
191,191,-9.0,-7.56
192,192,-10.0,-7.52
193,193,-3.0,-7.36
194,194,-2.0,-7.22
195,195,-11.0,-7.22
196,196,-6.0,-7.08
197,197,-9.0,-7.14
198,198,-4.0,-7.0
199,199,6.0,-6.68
200,200,1.0,-6.36
201,201,3.0,-6.12
202,202,-6.0,-6.12
203,203,3.0,-5.9
204,204,3.0,-5.62
205,205,-8.0,-5.58
206,206,7.0,-5.16
207,207,4.0,-4.88
208,208,10.0,-4.48
209,209,8.0,-4.22
210,210,3.0,-4.04
211,211,11.0,-3.66
212,212,8.0,-3.44
213,213,17.0,-2.94
214,214,20.0,-2.44
215,215,18.0,-1.96
216,216,12.0,-1.56
217,217,15.0,-1.12
218,218,16.0,-0.68
219,219,14.0,-0.3
220,220,6.0,-0.08
221,221,18.0,0.52
222,222,12.0,0.88
223,223,18.0,1.36
224,224,8.0,1.72
225,225,17.0,2.18
226,226,14.0,2.58
227,227,15.0,3.2
228,228,17.0,3.64
229,229,18.0,4.04
230,230,12.0,4.36
231,231,3.0,4.56
232,232,13.0,4.98
233,233,16.0,5.34
234,234,13.0,5.72
235,235,11.0,6.0
236,236,8.0,6.18
237,237,14.0,6.54
238,238,8.0,6.82
