,Episode,Score,Moving Average Score (n=50)
0,0,-21.0,-21.0
1,1,-19.0,-20.0
2,2,-20.0,-20.0
3,3,-21.0,-20.25
4,4,-20.0,-20.2
5,5,-21.0,-20.333333333333332
6,6,-21.0,-20.428571428571427
7,7,-20.0,-20.375
8,8,-20.0,-20.333333333333332
9,9,-20.0,-20.3
10,10,-19.0,-20.181818181818183
11,11,-21.0,-20.25
12,12,-20.0,-20.23076923076923
13,13,-21.0,-20.285714285714285
14,14,-20.0,-20.266666666666666
15,15,-21.0,-20.3125
16,16,-21.0,-20.352941176470587
17,17,-20.0,-20.333333333333332
18,18,-20.0,-20.31578947368421
19,19,-21.0,-20.35
20,20,-21.0,-20.38095238095238
21,21,-21.0,-20.40909090909091
22,22,-20.0,-20.391304347826086
23,23,-20.0,-20.375
24,24,-20.0,-20.36
25,25,-20.0,-20.346153846153847
26,26,-20.0,-20.333333333333332
27,27,-17.0,-20.214285714285715
28,28,-20.0,-20.20689655172414
29,29,-17.0,-20.1
30,30,-20.0,-20.096774193548388
31,31,-20.0,-20.09375
32,32,-20.0,-20.09090909090909
33,33,-21.0,-20.11764705882353
34,34,-17.0,-20.02857142857143
35,35,-21.0,-20.055555555555557
36,36,-18.0,-20.0
37,37,-20.0,-20.0
38,38,-20.0,-20.0
39,39,-21.0,-20.025
40,40,-20.0,-20.024390243902438
41,41,-21.0,-20.047619047619047
42,42,-20.0,-20.046511627906977
43,43,-17.0,-19.977272727272727
44,44,-19.0,-19.955555555555556
45,45,-19.0,-19.934782608695652
46,46,-20.0,-19.93617021276596
47,47,-20.0,-19.9375
48,48,-20.0,-19.93877551020408
49,49,-17.0,-19.88
50,50,-19.0,-19.84
51,51,-18.0,-19.82
52,52,-17.0,-19.76
53,53,-20.0,-19.74
54,54,-18.0,-19.7
55,55,-20.0,-19.68
56,56,-18.0,-19.62
57,57,-20.0,-19.62
58,58,-19.0,-19.6
59,59,-19.0,-19.58
60,60,-20.0,-19.6
61,61,-20.0,-19.58
62,62,-18.0,-19.54
63,63,-21.0,-19.54
64,64,-16.0,-19.46
65,65,-18.0,-19.4
66,66,-18.0,-19.34
67,67,-17.0,-19.28
68,68,-17.0,-19.22
69,69,-20.0,-19.2
70,70,-19.0,-19.16
71,71,-18.0,-19.1
72,72,-18.0,-19.06
73,73,-17.0,-19.0
74,74,-19.0,-18.98
75,75,-20.0,-18.98
76,76,-17.0,-18.92
77,77,-17.0,-18.92
78,78,-18.0,-18.88
79,79,-19.0,-18.92
80,80,-18.0,-18.88
81,81,-17.0,-18.82
82,82,-15.0,-18.72
83,83,-19.0,-18.68
84,84,-18.0,-18.7
85,85,-13.0,-18.54
86,86,-16.0,-18.5
87,87,-20.0,-18.5
88,88,-12.0,-18.34
89,89,-16.0,-18.24
90,90,-16.0,-18.16
91,91,-13.0,-18.0
92,92,-16.0,-17.92
93,93,-14.0,-17.86
94,94,-19.0,-17.86
95,95,-14.0,-17.76
96,96,-14.0,-17.64
97,97,-17.0,-17.58
98,98,-16.0,-17.5
99,99,-18.0,-17.52
100,100,-10.0,-17.34
101,101,-11.0,-17.2
102,102,-12.0,-17.1
103,103,-11.0,-16.92
104,104,-13.0,-16.82
105,105,-10.0,-16.62
106,106,-11.0,-16.48
107,107,-13.0,-16.34
108,108,-13.0,-16.22
109,109,-9.0,-16.02
110,110,-7.0,-15.76
111,111,-9.0,-15.54
112,112,-11.0,-15.4
113,113,-11.0,-15.2
114,114,-11.0,-15.1
115,115,-8.0,-14.9
116,116,-10.0,-14.74
117,117,-5.0,-14.5
118,118,-3.0,-14.22
119,119,-6.0,-13.94
120,120,-7.0,-13.7
121,121,-6.0,-13.46
122,122,-7.0,-13.24
123,123,-12.0,-13.14
124,124,-4.0,-12.84
125,125,-11.0,-12.66
126,126,-4.0,-12.4
127,127,-9.0,-12.24
128,128,-9.0,-12.06
129,129,-5.0,-11.78
130,130,-9.0,-11.6
131,131,-7.0,-11.4
132,132,-11.0,-11.32
133,133,-11.0,-11.16
134,134,-12.0,-11.04
135,135,-7.0,-10.92
136,136,-8.0,-10.76
137,137,-4.0,-10.44
138,138,-7.0,-10.34
139,139,-7.0,-10.16
140,140,-3.0,-9.9
141,141,-7.0,-9.78
142,142,-6.0,-9.58
143,143,-6.0,-9.42
144,144,-2.0,-9.08
145,145,-7.0,-8.94
146,146,-9.0,-8.84
147,147,-7.0,-8.64
148,148,-4.0,-8.4
149,149,-12.0,-8.28
150,150,-4.0,-8.16
151,151,1.0,-7.92
152,152,-6.0,-7.8
153,153,-7.0,-7.72
154,154,-4.0,-7.54
155,155,-6.0,-7.46
156,156,-7.0,-7.38
157,157,-6.0,-7.24
158,158,-5.0,-7.08
159,159,-7.0,-7.04
160,160,-5.0,-7.0
161,161,-8.0,-6.98
162,162,-8.0,-6.92
163,163,-7.0,-6.84
164,164,-9.0,-6.8
165,165,-4.0,-6.72
166,166,1.0,-6.5
167,167,-5.0,-6.5
168,168,-2.0,-6.48
169,169,-10.0,-6.56
170,170,-4.0,-6.5
171,171,-2.0,-6.42
172,172,-2.0,-6.32
173,173,-2.0,-6.12
174,174,-1.0,-6.06
175,175,4.0,-5.76
176,176,1.0,-5.66
177,177,5.0,-5.38
178,178,2.0,-5.16
179,179,-2.0,-5.1
180,180,-4.0,-5.0
181,181,6.0,-4.74
182,182,8.0,-4.36
183,183,1.0,-4.12
184,184,8.0,-3.72
185,185,5.0,-3.48
186,186,10.0,-3.12
187,187,7.0,-2.9
188,188,10.0,-2.56
189,189,8.0,-2.26
190,190,4.0,-2.12
191,191,10.0,-1.78
192,192,-2.0,-1.7
193,193,7.0,-1.44
194,194,5.0,-1.3
